Simple Test
n,simple_total,simple
512,512,104,3011,4442104,0.98026
512,512,105,3251,5199416,0.984202
512,512,106,3512,6089044,0.987629
512,512,107,3793,7123464,0.990536
512,512,108,4096,8325594,0.992731
512,512,109,4424,9736611,0.995189
512,512,110,4779,11382948,0.997015
512,512,111,5161,13296715,0.998598
512,512,112,5574,15531015,0.99994
512,512,113,6021,18142977,1.00109
512,512,114,6502,21178349,1.00206
512,512,115,7023,24729133,1.00289
512,512,116,7585,28866747,1.00363
512,512,117,8192,33687994,1.0041
512,512,118,8848,39325384,1.00476
512,512,119,9557,45901770,1.00522
512,512,120,10322,53565195,1.0056
512,512,121,11148,62501933,1.00593
512,512,122,12041,72936810,1.00621
512,512,123,13004,85091021,1.00645
512,512,124,14046,99294557,1.00666
512,512,125,15170,115842906,1.00683
512,512,126,16384,135137658,1.00692
4096,64,54,64,4,0.00198413
4096,64,55,70,5,0.00207039
4096,64,56,75,6,0.00216216
4096,64,57,81,7,0.00216049
4096,64,58,88,8,0.00208986
4096,64,59,95,9,0.00201568
4096,64,60,102,11,0.00213551
4096,64,61,110,12,0.00200167
4096,64,62,119,14,0.00199402
4096,64,63,128,16,0.0019685
4096,64,64,139,19,0.00198102
4096,64,65,150,22,0.00196868
4096,64,66,162,26,0.00199371
4096,64,67,175,30,0.00197044
4096,64,68,189,35,0.00197006
4096,64,69,204,41,0.0019801
4096,64,70,220,48,0.00199253
4096,64,71,238,56,0.0019856
4096,64,72,256,64,0.00196078
4096,64,73,277,2870,0.0750798
4096,64,74,299,6271,0.14076
4096,64,75,323,10007,0.192431
4096,64,76,349,14765,0.243141
4096,64,77,377,20674,0.291693
4096,64,78,407,27845,0.337021
4096,64,79,439,36637,0.381076
4096,64,80,475,48100,0.427271
4096,64,81,512,61503,0.470149
4096,64,82,553,79026,0.517769
4096,64,83,598,101038,0.56603
4096,64,84,646,128679,0.617654
4096,64,85,697,162560,0.670196
4096,64,86,753,206054,0.727777
4096,64,87,813,260153,0.788156
4096,64,88,878,328503,0.853248
4096,64,89,949,415527,0.923751
4096,64,90,1024,522783,0.998104
4096,64,91,1106,610242,0.998653
4096,64,92,1195,712819,0.999165
4096,64,93,1291,832273,0.999493
4096,64,94,1394,970736,0.999809
4096,64,95,1506,1133354,1.00008
4096,64,96,1626,1321513,1.00029
4096,64,97,1756,1541622,1.00048
4096,64,98,1897,1799483,1.00063
4096,64,99,2048,2097182,1.0005
4096,64,100,2212,2447438,1.00085
4096,64,101,2390,2857514,1.00093
4096,64,102,2581,3332796,1.00099
4096,64,103,2787,3886339,1.00104
4096,64,104,3011,4536460,1.00108
4096,64,105,3251,5288755,1.00111
4096,64,106,3512,6172315,1.00114
4096,64,107,3793,7199819,1.00115
4096,64,108,4096,8394780,1.00098
4096,64,109,4424,9795114,1.00117
4096,64,110,4779,11430454,1.00118
4096,64,111,5161,13331016,1.00117
